PHYSIO2BIDS -- 2018-11-01 14:55:25.166358
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI2/CSI2_sess01/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI2/CSI2_sess01/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI2/ses-01/func
-------------------------------------------------
Conversion target: Physio_log_20171103_153759_c7c6a913-9e6b-4c9f-8dde-39c95347a0c8.ext	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_162133_7f7a7dac-9657-412e-a5bc-3559018573bd.puls	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-10_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_160640_4922cfb0-95d6-44b0-8b33-7a470a3b2ade.puls	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_161403_f39fed47-57eb-4f29-a1c9-88e9ca9ceabe.ext	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-09_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_161403_f39fed47-57eb-4f29-a1c9-88e9ca9ceabe.puls	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_162133_7f7a7dac-9657-412e-a5bc-3559018573bd.ext	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-10_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_155820_36161b42-6023-4d6b-a2f6-7668cad19df8.resp	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_155100_9eef9dce-fcf3-40df-9102-643a5f440fb4.ext	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_152923_83f335b3-0df8-4004-a7c0-90b919dc203f.resp	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_161403_f39fed47-57eb-4f29-a1c9-88e9ca9ceabe.resp	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_150536_ccdbbb22-3648-4699-be10-60e5909524ae.resp	PHYSIO FILE MISSING SR TAG
Conversion target: Physio_log_20171103_152923_83f335b3-0df8-4004-a7c0-90b919dc203f.puls	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_151336_d7050190-f0cb-4250-a50f-3f97c12554b6.puls	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_153759_c7c6a913-9e6b-4c9f-8dde-39c95347a0c8.resp	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-05_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_152923_83f335b3-0df8-4004-a7c0-90b919dc203f.ext	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_160640_4922cfb0-95d6-44b0-8b33-7a470a3b2ade.ext	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_150536_ccdbbb22-3648-4699-be10-60e5909524ae.ext	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_150618_16c244c5-6f0a-42e2-a996-cc028f8fa912.resp	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_152201_c51f7a36-f62f-4b6f-9c96-c432f7631ef3.resp	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_150618_16c244c5-6f0a-42e2-a996-cc028f8fa912.puls	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-01_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_155820_36161b42-6023-4d6b-a2f6-7668cad19df8.ext	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_162133_7f7a7dac-9657-412e-a5bc-3559018573bd.resp	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-10_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_155100_9eef9dce-fcf3-40df-9102-643a5f440fb4.resp	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_155820_36161b42-6023-4d6b-a2f6-7668cad19df8.puls	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_153759_c7c6a913-9e6b-4c9f-8dde-39c95347a0c8.puls	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_160640_4922cfb0-95d6-44b0-8b33-7a470a3b2ade.resp	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171103_152201_c51f7a36-f62f-4b6f-9c96-c432f7631ef3.puls	MATCHED TO sub-CSI2_ses-01_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
