PHYSIO2BIDS -- 2018-11-01 14:56:03.143521
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI4/CSI4_sess08/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI4/CSI4_sess08/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI4/ses-08/func
-------------------------------------------------
Conversion target: Physio_log_20171213_125248_99d58313-e582-4847-a435-81e86d0a72e2.resp	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_130033_0ab37f08-f1a7-40af-a15b-c5d68ba266f2.ext	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_124426_b7a19386-5b31-4285-98f4-8f3d491f278f.puls	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_125248_99d58313-e582-4847-a435-81e86d0a72e2.puls	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_131749_ef7d165f-49b6-4407-88d5-5f6abde00b1c.resp	MATCHED TO sub-CSI4_ses-08_task-localizer__recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_121636_2b475752-ecae-4c18-a75b-5e743755c447.ext	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-03_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_130033_0ab37f08-f1a7-40af-a15b-c5d68ba266f2.resp	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_123201_ac80eb6a-47a1-4090-aca7-f58ddd0e5fe3.puls	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_122415_e80be588-ef2d-4b91-983b-173c8d83b395.resp	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_120848_0486914f-245d-4793-8fa1-2cae97b7af11.ext	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_122415_e80be588-ef2d-4b91-983b-173c8d83b395.puls	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_122415_e80be588-ef2d-4b91-983b-173c8d83b395.ext	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_130851_7bd10775-bfcc-428d-8a41-f5c23950473e.resp	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_131749_ef7d165f-49b6-4407-88d5-5f6abde00b1c.puls	MATCHED TO sub-CSI4_ses-08_task-localizer__recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_115948_821716df-9a6d-4792-afc4-e74a7688c908.puls	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-01_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_121636_2b475752-ecae-4c18-a75b-5e743755c447.resp	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_120848_0486914f-245d-4793-8fa1-2cae97b7af11.puls	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_123201_ac80eb6a-47a1-4090-aca7-f58ddd0e5fe3.resp	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-05_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_115948_821716df-9a6d-4792-afc4-e74a7688c908.ext	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_130033_0ab37f08-f1a7-40af-a15b-c5d68ba266f2.puls	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_121636_2b475752-ecae-4c18-a75b-5e743755c447.puls	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_115948_821716df-9a6d-4792-afc4-e74a7688c908.resp	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_131749_ef7d165f-49b6-4407-88d5-5f6abde00b1c.ext	MATCHED TO sub-CSI4_ses-08_task-localizer__recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_124426_b7a19386-5b31-4285-98f4-8f3d491f278f.ext	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_130851_7bd10775-bfcc-428d-8a41-f5c23950473e.puls	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_130851_7bd10775-bfcc-428d-8a41-f5c23950473e.ext	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-09_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_120848_0486914f-245d-4793-8fa1-2cae97b7af11.resp	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_123201_ac80eb6a-47a1-4090-aca7-f58ddd0e5fe3.ext	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_125248_99d58313-e582-4847-a435-81e86d0a72e2.ext	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171213_124426_b7a19386-5b31-4285-98f4-8f3d491f278f.resp	MATCHED TO sub-CSI4_ses-08_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
